,key,value
193,Egret-Natural,193
194,Electric Green,194
195,Elemental Gold-Dark Hazel-Black,195
196,Field Purple-Fir-Dark Steel Grey,196
197,Fire Red-Black-Tech Grey,197
198,Fire Red-Cement Grey,198
199,Fire Red-Cement Grey-Black,199
200,Fire Red-Cement Grey-Summit White,200
201,Fire Red-Cement Grey-White,201
202,Fire Red-Metallic Silver-White,202
203,Flax/Flax,203
204,Flint Grey-White-University Blue,204
205,Footwear White/Footwear White,205
206,Fortress Green-Black Earth,206
207,Frosted Spruce-Frosted Spruce,207
208,Ftw White/Collegiate Royal,208
209,Game Royal-Black,209
210,Game Royal-Gym Red-Black,210
211,Game Royal-Neutral Grey-Black,211
212,Game Royal-White,212
213,Geode/Geode,213
214,Glow/Glow,214
215,Gold,215
216,Gold Metallic/Cloud White,216
217,Gold-Black,217
218,Grass-Orange Blaze,218
219,Green,219
220,Green Night/Off White,220
221,Green-Purple,221
222,Grey,222
223,Grey Three/Core Black,223
224,Grey Three/High Risk Red,224
225,Grey-Teal,225
226,Grey/Grey,226
227,Grey/Inertia,227
228,Grey/Onyx,228
229,Grey/White,229
230,Guava Ice,230
231,Gum,231
232,Gunsmoke-White,232
233,Gym Red,233
234,Gym Red-Black-White,234
235,Gym Red-Muslin,235
236,Gym Red-University Gold-Black,236
237,Gym Red-White,237
238,Gym Red-White-Anthracite,238
239,Gym Red-White-Pine Green,239
240,Gym Red-White-Sail,240
241,Habanero Red-Thunder Grey-Amarillo-Racer Blue-Lucky Green,241
242,High Res Red/Grey Five,242
243,High Risk Red,243
244,Hospital Blue/Hospital Blue,244
245,Hyper Grape/Hyper Royal/Laser Crimson,245
246,Hyper Jade-Cone-Black,246
247,Hyper Royal-White,247
248,Ice Blue/Black,248
249,Inertia/Inertia,249
250,Infrared,250
251,Infrared 23-Black,251
252,Infrared23-Black,252
253,Iron Grey-Off Noir,253
254,Ivory-Black,254
255,Khaki-Terra Blush-Dusty Peach,255
256,Lagoon Pulse-Black-University Gold,256
257,Light Bone-Sail-Rush Coral,257
258,Light Bone-String-Shimmer,258
259,Light Bone-White-Rush Orange,259
260,Light Brown/Gum,260
261,Light Charcoal,261
262,Light Grey/Gum,262
263,Light Smoke Grey-White,263
264,Linen/Linen,264
265,Lundmark/Lundmark,265
266,Magma Orange,266
267,Magnet/Magnet,267
268,Mango-White,268
269,Marsh/Marsh,269
270,Mauve/Mauve,270
271,Medium Grey-White,271
272,Medium Olive,272
273,Metallic Gold,273
274,Metallic Gold-Black,274
275,Metallic Gold-Metallic Gold,275
276,Metallic Gold-Rose Frost,276
277,Metallic Gold-Summit White,277
278,Metallic Gold-University Red,278
279,Metallic Gold-University Red-Midnight Navy,279
280,Metallic Gold-White,280
281,Metallic Gold-White-Black,281
282,Metallic Green/Black Forest/White/Dark Grey,282
283,Metallic Silver,283
284,Metallic Silver-Black,284
285,Metallic Silver-Court Purple,285
286,Metallic Silver-Island Green,286
287,Metallic Silver-Neon Yellow,287
288,Metallic Silver-Pine Green,288
289,Metallic Silver-Team Orange,289
290,Metallic Silver-University Gold-Flash Crimson-Kinetic Green-Psychic Purple,290
291,Midnight Navy-White,291
292,Military Blue-Fire Red-Black-Cement Grey,292
293,Mist/Mist,293
294,Moonrock-Agate Gray,294
295,Multi,295
296,Multi Color-Black-Wolf Grey,296
297,Multi-Color,297
298,Multi-Color-Black,298
299,Multi-Color-Light Aqua,299
300,Multi/White,300
301,Muslin-Fire Red,301
302,Muted Bronze-Fossil,302
303,Navy,303
304,Neon Yellow-Metallic Silver,304
305,Noble Red-White,305
306,Obsidian-University Blue,306
307,Obsidian-University Red-Varsity Maize,307
308,Obsidian-White-Metallic Gold,308
309,Oil/Oil,309
310,Old Royal-Electric Green-White,310
311,Opti Yellow,311
312,Orange,312
313,Orange Blaze-Dark Cinder-Tweed,313
314,Orange Blaze-Pine Green,314
315,Orange Peel,315
316,Orange Pulse-Orange Pulse,316
317,Orange-Cement Grey-Outdoor green,317
318,Orange-Purple-Electric Green,318
319,Pale Vanilla-Hyper Grape,319
320,Pale Vanilla-Starfish,320
321,Particle Grey,321
322,Particle Grey-Black-Volt,322
323,Phantom-Black-Clear,323
324,Pine Green-Pine Green,324
325,Pine Green-White,325
326,Pine Green-White-Gym Red,326
327,Pink,327
328,Pink Blast-Black,328
329,Pink Foam-Gunsmoke-Grey Fog,329
330,Pink/Black,330
331,Pink/Yellow,331
332,Pro Gold-Lucky Green,332
333,Pure Platinum,333
334,Pure Platinum-Photo Blue,334
335,Purple,335
336,Racer Blue-Sail,336
337,Racer Blue-White,337
338,Racer Pink,338
339,Raw Indigo-Dark Obsidian-Total Orange-Summit White,339
340,Raw Steel/Red,340
341,Red,341
342,Red Orbit-White-Black-Deep Royal Blue-Blackened Blue,342
343,Red Orbit-White-Green Abyss,343
344,Red-Blue,344
345,Red-Egret,345
346,Red-Green,346
347,Red-Pink,347
348,Red-Red,348
349,Red-White,349
350,Red/Black,350
351,Red/Core Black,351
352,Reflect Silver,352
353,Reflect Silver-Blue Lagoon,353
354,Reflective Silver-Metallic Gl,354
355,Regency Purple-Laser Orange,355
356,Resin/Resin,356
357,Royal Blue,357
358,Royal Blue-Dark Powder Blue,358
359,Rugged Orange-Blue Void-University Gold,359
360,Running White,360
361,Running White/Collegiate Green,361
362,Running White/Running White,362
363,Sail-Black,363
364,Sail-Black-Pure Platinum,364
365,Sail-Deep Royal Blue-Sail,365
366,Sail-Gum Light Brown,366
367,Sail-Hyper Royal,367
368,Sail-Pink Blast,368
369,Sail-Platinum Tint,369
370,Sail-Sail,370
371,Sail-University Red-Black,371
372,Sail-Varsity Red-Black,372
373,Sail-White,373
374,Sail-White-Light Smoke Grey,374
375,Sail-Worn Brick,375
376,Sail/Gum Light Brown/Multi-Color,376
377,Salmon,377
378,Salt/Salt,378
379,Sanded Purple-White,379
380,Scarlet/White,380
381,Sesame/Sesame,381
382,Shadow Grey-White,382
383,Silver,383
384,Silver/Black,384
385,Sky Grey-Football Grey,385
386,Slate/Slate,386
387,Smoke Grey-White-Black,387
388,Snorkel Blue,388
389,Soar-Green-Pink,389
390,Soft Grey,390
391,Soft Vision/Soft Vision,391
392,Special Cardinal,392
393,Sport Blue-White,393
394,Sport Red-Bison-Classic Green,394
395,Sport Red-Black-Classic Green,395
396,Sport Red-Black-Metallic Gold,396
397,Sport Red-Black-Neutral Grey,397
398,Sport Red-Maple,398
399,Sport Royal-Light Bone-Fire Red,399
400,Starfish-Black,400
401,Starfish-Black-String-Galactic Jade,401
402,Starfish-Pure Platinum-Sail,402
403,Starfish-Sail,403
404,Static/Static,404
405,Stealth-Varsity Red,405
406,Stone/Stone,406
407,Storm Blue-Varsity Red-Black,407
408,String-Oatmeal,408
409,String-White-Black,409
410,Sulfur Spring-Egret,410
411,Sulfur/Sulfur,411
412,Summit White-Black,412
413,Summit White-Pink Foam-Summit White,413
414,Super Moon Yellow/Super Moon Yellow,414
415,Synth/Synth,415
416,TC Blue-Del Sol,416
417,Tail Light/Tail Light,417
418,Tangerine/Core Black,418
419,Teal Blue/Teal Blue,419
420,Team Orange-Black,420
421,Tephra/Tephra,421
422,Terra Brown,422
423,Titanium-University Blue,423
424,Total Crimson-Clear,424
425,Total Orange-Battle Blue,425
426,Total Orange-Black,426
427,Total Orange-Black-Photo Blue,427
428,Tough Red-Mahogany Mink-Velvet Brown,428
429,Track Red-Black,429
430,True Blue-Varsity Red,430
431,True Red-Black,431
432,True Red-White,432
433,Turquoise,433
434,Tyrian/Tyrian,434
435,University Blue,435
436,University Blue-Flint Grey,436
437,University Blue-Midnight Navy,437
438,University Blue-Varsity Red-Black,438
439,University Gold-University Red-Black-Kinetic Green-Hyper Royal,439
440,University Gold-White,440
441,University Red,441
442,University Red-Black,442
443,University Red-Black-True Red,443
444,University Red-Metallic Gold,444
445,University Red-Neutral Grey,445
446,University Red-Neutral Grey-Black,446
447,University Red-University Red,447
448,University Red-White,448
449,University Red-Wolf Grey,449
450,Utility Black/Gum,450
451,Utility Black/Utility Black,451
452,Valerian Blue-Dark Smoke Grey,452
453,Valor Blue-Tech Grey,453
454,Vanilla,454
455,Vanta/Vanta,455
456,Varsity Maize-Light Charcoal,456
457,Varsity Maize-White,457
458,Varsity Red,458
459,Varsity Red-Black Laser,459
460,Varsity Red-Cement Grey,460
461,Varsity Red-Medium Grey Laser,461
462,Varsity Red-Royal-Taxi-Black,462
463,Varsity Red-Sail-University Blue-Light Green Spark,463
464,Varsity Red-Varsity Maize,464
465,Varsity Red-Varsity Royal,465
466,Varsity Red-White,466
467,Varsity Red/Black,467
468,Varsity Royal,468
469,Varsity Royal-White,469
470,Viotech,470
471,Viotech-Dark Mocha-Metallic Gold,471
472,Volt-Black-Team Orange,472
473,Volt-Photo Blue-Total Orange,473
474,Volt-Wolf Grey-Anthracite,474
475,Voltage Purple,475
476,Wheat-Gold,476
477,Wheat-Gum Light Brown,477
478,White,478
479,White-Agate Blue,479
480,White-Amarillo,480
481,White-Anthracite,481
482,White-Black,482
483,White-Black-Black,483
484,White-Black-Fresh Water,484
485,White-Black-Laser Fuchsia,485
486,White-Black-Vivid Purple,486
487,White-Black-Washed Coral,487
488,White-Blue Glow Volt,488
489,White-Blue Lagoon,489
490,White-Clear,490
491,White-Cone,491
492,White-Cone-Black,492
493,White-Dark Grey,493
494,White-Ember Glow-Metallic Silver,494
495,White-Fresh Mint-Black,495
496,White-Game Royal-Black,496
497,White-Grey,497
498,White-Gum,498
499,White-Gum Medium Brown,499
500,White-Gunsmoke,500
501,White-Habanero Red-Black,501
502,White-High Risk Red,502
503,White-Lucid Green-Sail,503
504,White-Metallic Gold,504
505,White-Metallic Silver,505
506,White-Muslin,506
507,White-Pale Blue,507
508,White-Photo Blue,508
509,White-Pueblo Brown-String,509
510,White-Pure Platinum,510
511,White-Pure Platinum-Metallic Silver,511
512,White-Racer Blue,512
513,White-Red,513
514,White-Starfish,514
515,White-Taxi-Black,515
516,White-True Red-Black,516
517,White-University Gold-Wolf Grey,517
518,White-Varsity Crimson,518
519,White-Varsity Red,519
520,White-Varsity Red-Reflect Silver,520
521,White-Vivid Purple,521
522,White-White,522
523,White-White-Black,523
524,White-Wolf Grey-Black,524
525,White/Black,525
526,White/Natural,526
527,White/Red,527
528,White/White,528
529,Whtvap/Gum3,529
530,Wolf Grey-Black,530
531,Yecheil/Yecheil,531
532,Yeezreel/Yeezreel,532
533,Yellow Ochre-Black,533
534,Yellow-White,534
535,Yeshaya/Yeshaya,535
536,nan,536
537,white,537
